PhiDot;Phi;Temp;kf
90;0.12;600;595.03
90;0.14;600;613.38
90;0.16;600;628.28
90;0.18;600;640.76
90;0.2;600;651.17
90;0.22;600;660.59
90;0.24;600;669.42
90;0.26;600;676.82
90;0.28;600;683.73
90;0.3;600;690.14
90;0.32;600;696.06
90;0.34;600;700.01
90;0.36;600;704.45
90;0.38;600;708.84
90;0.4;600;712.83
90;0.42;600;716.29
90;0.44;600;719.74
90;0.46;600;721.86
90;0.48;600;724.18
90;0.5;600;726.4
90;0.52;600;728.72
90;0.54;600;730.59
90;0.56;600;732.57
90;0.58;600;734.05
90;0.6;600;736.51
90;0.62;600;737.99
90;0.64;600;738.98
90;0.66;600;739.96
90;0.68;600;740.95
90;0.7;600;740.95
0.1;0.04;700;176.95
0.1;0.06;700;188.68
0.1;0.08;700;193.43
0.1;0.1;700;194.91
0.1;0.12;700;195.86
0.1;0.14;700;196.33
0.1;0.16;700;196.8
0.1;0.18;700;196.8
0.1;0.2;700;197.74
0.1;0.22;700;198.22
0.1;0.24;700;198.22
0.1;0.26;700;199.36
0.1;0.28;700;199.63
0.1;0.3;700;199.63
0.1;0.32;700;200.1
0.1;0.34;700;200.58
0.1;0.36;700;200.86
0.1;0.38;700;201.05
0.1;0.4;700;201.99
0.1;0.42;700;202.46
0.1;0.44;700;202.46
0.1;0.46;700;202.94
0.1;0.48;700;203.41
0.1;0.5;700;203.49
0.1;0.52;700;203.88
0.1;0.54;700;203.88
0.1;0.56;700;204.35
0.1;0.58;700;204.81
0.1;0.6;700;205.3
0.1;0.62;700;205.3
0.1;0.64;700;205.77
0.1;0.66;700;205.77
0.1;0.68;700;205.77
0.1;0.7;700;206.24
1.5;0.04;700;241.57
1.5;0.06;700;260.42
1.5;0.08;700;274.55
1.5;0.1;700;283.48
1.5;0.12;700;290.15
1.5;0.14;700;292.61
1.5;0.16;700;293.55
1.5;0.18;700;294.02
1.5;0.2;700;294.97
1.5;0.22;700;294.97
1.5;0.24;700;295.91
1.5;0.26;700;295.91
1.5;0.28;700;296.38
1.5;0.3;700;296.38
1.5;0.32;700;296.38
1.5;0.34;700;296.38
1.5;0.36;700;296.38
